序号,门次,门名,卷次,位次,轮相,首字,首字表义,次字,次字表义,判定,去处,去处门次,升降,贈掷,白话说明,说明来源,承注层级,谱曰原文（本位按语）,引文,引文出处,引文所出之位
1133,第4门,欲界人天門,卷2,彌勒內院,陀佛,陀,定善,佛,无漏善慧,行,等覺菩薩,第12门,升,,「陀」表定善、「佛」表无漏善慧。定慧平等，堪拟别教补处，故为等觉菩萨。,手工逐组（门1–14 手写）,直說,陀佛。則定慧平等。堪擬別教補處。,陀佛。則定慧平等。堪擬別教補處。,《選佛譜》卷第二・彌勒內院・L157,彌勒內院
1134,第4门,欲界人天門,卷2,彌勒內院,佛佛,佛,无漏善慧,佛,无漏善慧,行,圓等覺位,第13门,升,,「佛佛」二字俱表无漏善慧。纯是妙慧，堪拟圆教补处，故入圆等觉位。,手工逐组（门1–14 手写）,直說,佛佛。則純是妙慧。堪擬圓教補處也。,佛佛。則純是妙慧。堪擬圓教補處也。,《選佛譜》卷第二・彌勒內院・L157,彌勒內院
1135,第4门,欲界人天門,卷2,化樂天,那那,那,见烦恼,那,见烦恼,行,忉利天,第4门,降,,「那那」二字俱表见烦恼。见思所牵，享福渐退，故降为忉利天。,手工逐组（门1–14 手写）,承注,,那那等三。見思所牽。還墮鬼趣脩羅人道。,《選佛譜》卷第二・四王天・L135,四王天
1136,第4门,欲界人天門,卷2,化樂天,那謨,那,见烦恼,謨,爱烦恼,行,夜摩天,第4门,降,,「那」表见烦恼、「謨」表爱烦恼。见爱所牵，享福渐退，故降为夜摩天。,手工逐组（门1–14 手写）,承注,,那那等三。見思所牽。還墮鬼趣脩羅人道。,《選佛譜》卷第二・四王天・L135,四王天
1137,第4门,欲界人天門,卷2,化樂天,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1138,第4门,欲界人天門,卷2,化樂天,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1139,第4门,欲界人天門,卷2,化樂天,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1140,第4门,欲界人天門,卷2,化樂天,那佛,那,见烦恼,佛,无漏善慧,行,無量光天,第5门,升,,「那」表见烦恼、「佛」表无漏善慧。虽有见思而以觉悟力能超欲界，故生无量光天。,手工逐组（门1–14 手写）,承注,,那佛。謨佛。雖有見思。以覺悟力。能超欲界。,《選佛譜》卷第二・四王天・L135,四王天
1141,第4门,欲界人天門,卷2,化樂天,謨謨,謨,爱烦恼,謨,爱烦恼,行,兜率天,第4门,降,,「謨謨」二字俱表爱烦恼。享福渐退，故降为兜率天。,手工逐组（门1–14 手写）,承注,,那那等三。見思所牽。還墮鬼趣脩羅人道。,《選佛譜》卷第二・四王天・L135,四王天
1142,第4门,欲界人天門,卷2,化樂天,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1143,第4门,欲界人天門,卷2,化樂天,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1144,第4门,欲界人天門,卷2,化樂天,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1145,第4门,欲界人天門,卷2,化樂天,謨佛,謨,爱烦恼,佛,无漏善慧,行,光音天,第5门,升,,「謨」表爱烦恼、「佛」表无漏善慧。虽有见思而以觉悟力能超欲界，故生光音天。,手工逐组（门1–14 手写）,承注,,那佛。謨佛。雖有見思。以覺悟力。能超欲界。,《選佛譜》卷第二・四王天・L135,四王天
1146,第4门,欲界人天門,卷2,化樂天,阿阿,阿,施善,阿,施善,行,他化自在天,第4门,升,,「阿阿」二字俱表施善。福善所感，故渐升他化自在天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1147,第4门,欲界人天門,卷2,化樂天,阿彌,阿,施善,彌,戒善,行,梵眾天,第5门,升,,「阿」表施善、「彌」表戒善。施福加以戒力，故生梵众天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1148,第4门,欲界人天門,卷2,化樂天,阿陀,阿,施善,陀,定善,行,梵輔天,第5门,升,,「阿」表施善、「陀」表定善。舍欲得禅，故生梵辅天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1149,第4门,欲界人天門,卷2,化樂天,阿佛,阿,施善,佛,无漏善慧,行,八關齋戒,第7门,升,,「阿」表施善、「佛」表无漏善慧。天乐迷醉、难入法门，故仅能加受八关斋戒。,手工逐组（门1–14 手写）,承注,,天樂迷醉。難入法門。故阿佛僅持五戒。彌佛僅能加受八關。,《選佛譜》卷第二・四王天・L135,四王天
1150,第4门,欲界人天門,卷2,化樂天,彌彌,彌,戒善,彌,戒善,行,梵輔天,第5门,升,,「彌彌」二字俱表戒善。福善所感，戒善又胜，故生梵辅天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1151,第4门,欲界人天門,卷2,化樂天,彌陀,彌,戒善,陀,定善,行,大梵天,第5门,升,,「彌」表戒善、「陀」表定善。净戒生定，故生大梵天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1152,第4门,欲界人天門,卷2,化樂天,彌佛,彌,戒善,佛,无漏善慧,行,護法八部,第6门,升,,「彌」表戒善、「佛」表无漏善慧。竭力殚诚、护持正法，故为护法八部。,手工逐组（门1–14 手写）,承注,,天樂迷醉。難入法門。故阿佛僅持五戒。彌佛僅能加受八關。,《選佛譜》卷第二・四王天・L135,四王天
1153,第4门,欲界人天門,卷2,化樂天,陀陀,陀,定善,陀,定善,行,少光天,第5门,升,,「陀陀」二字俱表定善。福善所感，定善最深，故生少光天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1154,第4门,欲界人天門,卷2,化樂天,陀佛,陀,定善,佛,无漏善慧,行,覺清淨戒,第7门,升,,「陀」表定善、「佛」表无漏善慧。先已成就欲界中定，今更证得大乘定共戒，故入觉清净戒。,手工逐组（门1–14 手写）,直說,陀佛覺清淨戒者。先已成就欲界中定。今更證得大乘定共戒故。,陀佛覺清淨戒者。先已成就欲界中定。今更證得大乘定共戒故。,《選佛譜》卷第二・化樂天・L161,化樂天
1155,第4门,欲界人天門,卷2,化樂天,佛佛,佛,无漏善慧,佛,无漏善慧,行,上品上生,第14门,横超,,「佛佛」二字俱表无漏善慧。上善具足、随佛往生，故得上品上生。,手工逐组（门1–14 手写）,承注,,佛佛。則上善具足。隨佛往生。,《選佛譜》卷第二・四王天・L135,四王天
1156,第4门,欲界人天門,卷2,他化自在天,那那,那,见烦恼,那,见烦恼,行,夜摩天,第4门,降,,「那那」二字俱表见烦恼。见思所牵，享福渐退，故降为夜摩天。,手工逐组（门1–14 手写）,承注,,那那等三。見思所牽。還墮鬼趣脩羅人道。,《選佛譜》卷第二・四王天・L135,四王天
1157,第4门,欲界人天門,卷2,他化自在天,那謨,那,见烦恼,謨,爱烦恼,行,兜率天,第4门,降,,「那」表见烦恼、「謨」表爱烦恼。见爱所牵，享福渐退，故降为兜率天。,手工逐组（门1–14 手写）,承注,,那那等三。見思所牽。還墮鬼趣脩羅人道。,《選佛譜》卷第二・四王天・L135,四王天
1158,第4门,欲界人天門,卷2,他化自在天,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1159,第4门,欲界人天門,卷2,他化自在天,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1160,第4门,欲界人天門,卷2,他化自在天,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1161,第4门,欲界人天門,卷2,他化自在天,那佛,那,见烦恼,佛,无漏善慧,行,光音天,第5门,升,,「那」表见烦恼、「佛」表无漏善慧。虽有见思而以觉悟力能超欲界，故生光音天。,手工逐组（门1–14 手写）,承注,,那佛。謨佛。雖有見思。以覺悟力。能超欲界。,《選佛譜》卷第二・四王天・L135,四王天
1162,第4门,欲界人天門,卷2,他化自在天,謨謨,謨,爱烦恼,謨,爱烦恼,行,化樂天,第4门,降,,「謨謨」二字俱表爱烦恼。享福渐退，故降为化乐天。,手工逐组（门1–14 手写）,承注,,那那等三。見思所牽。還墮鬼趣脩羅人道。,《選佛譜》卷第二・四王天・L135,四王天
1163,第4门,欲界人天門,卷2,他化自在天,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1164,第4门,欲界人天門,卷2,他化自在天,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1165,第4门,欲界人天門,卷2,他化自在天,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。相为对治，二俱无力，故不行。,手工逐组（门1–14 手写）,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
1166,第4门,欲界人天門,卷2,他化自在天,謨佛,謨,爱烦恼,佛,无漏善慧,行,少淨天,第5门,升,,「謨」表爱烦恼、「佛」表无漏善慧。虽有见思而以觉悟力能超欲界，故生少净天。,手工逐组（门1–14 手写）,承注,,那佛。謨佛。雖有見思。以覺悟力。能超欲界。,《選佛譜》卷第二・四王天・L135,四王天
1167,第4门,欲界人天門,卷2,他化自在天,阿阿,阿,施善,阿,施善,行,梵眾天,第5门,升,,「阿阿」二字俱表施善。福善所感，故生梵众天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1168,第4门,欲界人天門,卷2,他化自在天,阿彌,阿,施善,彌,戒善,行,梵輔天,第5门,升,,「阿」表施善、「彌」表戒善。施福加以戒力，故生梵辅天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1169,第4门,欲界人天門,卷2,他化自在天,阿陀,阿,施善,陀,定善,行,大梵天,第5门,升,,「阿」表施善、「陀」表定善。舍欲得禅，故生大梵天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1170,第4门,欲界人天門,卷2,他化自在天,阿佛,阿,施善,佛,无漏善慧,行,八關齋戒,第7门,升,,「阿」表施善、「佛」表无漏善慧。天乐迷醉、难入法门，故仅能加受八关斋戒。,手工逐组（门1–14 手写）,承注,,天樂迷醉。難入法門。故阿佛僅持五戒。彌佛僅能加受八關。,《選佛譜》卷第二・四王天・L135,四王天
1171,第4门,欲界人天門,卷2,他化自在天,彌彌,彌,戒善,彌,戒善,行,大梵天,第5门,升,,「彌彌」二字俱表戒善。福善所感，戒善又胜，故生大梵天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1172,第4门,欲界人天門,卷2,他化自在天,彌陀,彌,戒善,陀,定善,行,少光天,第5门,升,,「彌」表戒善、「陀」表定善。净戒生定，故生少光天。,手工逐组（门1–14 手写）,承注,,阿阿等六。福善所感。漸昇忉利及空居天。,《選佛譜》卷第二・四王天・L135,四王天
1173,第4门,欲界人天門,卷2,他化自在天,彌佛,彌,戒善,佛,无漏善慧,行,護法八部,第6门,升,,「彌」表戒善、「佛」表无漏善慧。竭力殚诚、护持正法，故为护法八部。,手工逐组（门1–14 手写）,承注,,天樂迷醉。難入法門。故阿佛僅持五戒。彌佛僅能加受八關。,《選佛譜》卷第二・四王天・L135,四王天
